river,date,Q (cms),Q/Q5%,C*** (mg/L),Qs (kg/s),b (m),T (C),sigg,tau*,u* (cm/s),D50 (mm),D90 (mm),vs50/u*,h (m),So,Cm*,C (ppm),Rib,Kred,C5t,Um,Cave**,qs,D50s,625-125,125-25,25-50,scaled effect
atchafalaya,10/7/1964,3284.27336358729,0.251398757163754,155,509.06237135603,350.502895458702,21.1111111111111,1.70639975520368,0.812030981169609,3.43547630021318,0.089794216035815,0.198,0.185418248980636,7.86345626333435,1.53E-05,5.84998890011815E-05,155.024705853131,1.16976879240948,0.511498463674209,0.000551319,,,0.496048303581766,0.99466036308267,,,,0.445533789006774
atchafalaya,7/30/1965,3086.08445371564,0.236228142507321,36,111.099040333763,374.885705577568,27.2222222222222,1.76380713724872,1.2428378088207,4.96403140013661,0.122490281227976,0.198,0.235896976793453,9.47881743370924,2.65E-05,1.35898653836823E-05,36.0131432667581,0.199606923110079,0.855941144816241,0.000215783,,,0.788443941276075,0.958729530634293,,,,0.740929807571108
atchafalaya,11/2/1962,2766.15092777998,0.211738435990507,26,71.9199241222796,349.283754952758,17.2222222222222,1.60746099598306,0.818936831904645,5.1513429360215,0.200187782959478,0.434,0.408631307630577,10.4846083511125,2.58E-05,1.44742577005689E-05,38.3567829065077,0.378261531179184,0.860109159965772,0.000365467,,,0.699501640935412,0.759420571862338,,,,0.736433511506662
atchafalaya,5/19/1964,2729.34441594668,0.208921036125741,41,111.903121053814,344.407192928985,25,1.48819004423008,0.556412440208737,3.91642731656509,0.170306160952785,0.315,0.480029334911508,8.22919841511734,1.9E-05,1.54766282117752E-05,41.0130647612044,0.645170455412231,0.80485258982853,0.000273294,,,0.667856393612996,0.897432554596566,,,,0.688199833085857
atchafalaya,9/14/1962,2553.80566720322,0.195484206001471,9,22.984251004829,348.064614446815,28.8888888888889,1.72128688607623,1.03007402266096,5.08409769528384,0.155026659191159,0.373,0.341456853122701,9.90551661078939,2.66E-05,3.39680934423663E-06,9.00154476222707,0.071946440541818,0.94881042725735,1.25457E-05,,,0.982523114435501,0.999801537523831,,,,0.805917555708376
atchafalaya,8/25/1960,2500.01153452377,0.191366467737582,20,50.0002306904755,329.167936604694,28.8888888888889,1.71085965465774,0.641244449634158,4.37924509073959,0.184765947271516,0.463,0.514015533124646,10.4541298384639,1.87E-05,7.54694048063403E-06,19.9993922736802,0.342286291289389,0.88505345440661,0.000203266,,,0.698941281588169,0.93412715978467,,,,0.750163769962901
atchafalaya,7/23/1959,2420.73597057511,0.185298221875009,38,91.9879668818543,334.958854007924,29.4444444444444,1.59728645461446,0.473498012563236,4.01630894977044,0.210466565442305,0.43,0.675495843056364,9.90551661078939,1.66E-05,1.4341955931352E-05,38.0061832180828,0.962957057911305,0.778183536845546,0.000252443,,,0.702185393520279,0.971995930702747,,,,0.657459740324746
atchafalaya,11/18/1960,2415.07343029307,0.184864775741968,35,84.5275700602573,327.339225845779,14.4444444444444,1.66309025783905,0.569487385756064,4.40470603254753,0.210473197020033,0.46,0.488795389315636,10.5760438890582,1.87E-05,1.32073652988761E-05,34.9995180420216,0.569620523214525,0.815371770695455,0.000111361,,,0.845525628155862,0.983932061036495,,,,0.688717452383586
atchafalaya,7/30/1963,2358.4480274726,0.180530314411558,15,35.3767204120889,338.311490399268,29.4444444444444,1.70249177750194,0.541963391955998,4.60602139591912,0.241840481164927,0.51,0.716019253171943,8.89972569338616,2.43E-05,7.07986971311882E-06,18.7616547397649,0.344213291789889,0.906951962581837,0.000124254,,,0.859958988901736,0.980121500703428,,,,0.764256777493481
atchafalaya,2/9/1961,2327.30405592134,0.178146360679833,135,314.186047549381,334.349283754953,5.55555555555556,1.47968786770892,0.711078116121448,4.04272450914886,0.141996627598433,0.232,0.241421347853723,9.20451081987199,1.81E-05,5.09548539510414E-05,135.03036297026,1.12141561927666,0.589371648473142,0.000273572,,,0.709137435925409,0.98484949266869,,,,0.495983165308851
atchafalaya,8/11/1960,2287.66627394701,0.175112237748546,20,45.7533254789402,327.94879609875,30.5555555555556,1.66282302097054,0.585231687968313,4.42417866992091,0.206625791485586,0.464,0.610282766913722,10.1798232246266,1.96E-05,7.5472147021583E-06,20.0001189607195,0.387744534031959,0.878305737876924,0.000115777,,,0.830607307380852,0.978040512308299,,,,0.737865780359803
atchafalaya,9/8/1960,2287.66627394701,0.175112237748546,12,27.4519952873641,327.644010972265,28.8888888888889,1.70839705624182,0.526274931262278,4.18738777729503,0.205835712601768,0.477,0.626643659378271,9.87503809814081,1.81E-05,4.53017195207404E-06,12.0049556729962,0.258785957123745,0.914840524490279,6.2826E-05,,,0.885077621683263,0.983759182479908,,,,0.768558701596894
atchafalaya,2/8/1963,2282.00373366496,0.174678791615505,8,18.2560298693197,333.739713501981,5.55555555555556,1.66822501389881,0.682187801581899,4.62021564034006,0.193315906779239,0.431,0.345221981864596,9.93599512343798,2.19E-05,3.01896344348433E-06,8.00025312523348,0.078522862839046,0.95042433127738,2.44471E-05,,,0.965475992955054,0.981526833662181,,,,0.798254846164964
atchafalaya,9/17/1959,2279.17246352394,0.174462068548985,8,18.2333797081915,330.996647363609,25,1.59462593925015,0.440440499039272,3.82371767055819,0.205083839001909,0.435,0.645706668933946,9.93599512343798,1.5E-05,3.0204042306139E-06,8.00407121112684,0.214532467004207,0.930039462758452,4.90758E-05,,,0.894410255094576,0.984732032825226,,,,0.781036766567621
atchafalaya,11/3/1960,2177.24673844709,0.166660038154248,17,37.0131945536005,322.462663822005,18.8888888888889,1.65312220477057,0.461812976707766,4.16892496760894,0.232503274491192,0.412,0.647648979287955,10.2407802499238,1.73E-05,5.28266287641263E-06,13.9990566224935,0.326310029637062,0.901156920795616,4.60082E-05,,,0.921083712356634,0.990791986592164,,,,0.753327063864328
atchafalaya,12/2/1960,2154.5965773189,0.164926253622084,14,30.1643520824646,321.853093569034,13.3333333333333,1.59610557026561,0.571821652855434,4.18131407357732,0.188891333376484,0.412,0.430964995283959,10.301737275221,1.73E-05,5.28266287641263E-06,13.9990566224935,0.217136450270107,0.901156920795616,4.60082E-05,,,0.921083712356634,0.990791986592164,,,,0.752539675458717
atchafalaya,9/3/1959,2143.27149675481,0.164059361356002,18,38.5788869415865,328.253581225236,27.7777777777778,1.66283943097908,0.421436775858927,3.80608321375818,0.212359246649385,0.469,0.707288792391347,9.84455958549223,1.5E-05,6.79389438969069E-06,18.0038201326803,0.528576989437054,0.857749977895275,7.99923E-05,,,0.847270665542329,0.990051224098413,,,,0.715913937169236
atchafalaya,9/22/1960,2044.17704181898,0.156474054027785,9,18.3975933763709,321.548308442548,28.3333333333333,1.55660442474959,0.742020427071159,4.6902557428409,0.183157300952409,0.384,0.468631162246318,9.96647363608656,2.25E-05,3.39711431497742E-06,9.00235293469016,0.116746199512175,0.939820863114526,1.76265E-05,,,0.971209889408245,0.999060826837462,,,,0.780709232340658
atchafalaya,10/2/1964,1769.5438381397,0.135451916575299,41,72.5512973637278,323.072234074977,23.8888888888889,1.63673864228514,0.530293608185236,3.27192415196355,0.124720289716036,0.228,0.351780770745942,7.04053642182262,1.55E-05,1.54703862880555E-05,40.9965236633471,0.579329308390121,0.752336109603225,0.000204758,,,0.721721750679226,0.988133920101819,,,,0.616013773134953
atchafalaya,6/2/1964,1707.25589503719,0.130684009111848,12,20.4870707404462,323.072234074977,26.6666666666667,1.73666165681725,0.450511500126319,3.17028237516968,0.137827874692176,0.281,0.444124476427638,7.5891496494971,1.35E-05,4.5296707756106E-06,12.0036275553681,0.245879047529821,0.898480164198441,0.000101886,,,0.776443707182853,0.963238180596814,,,,0.733045173346876
atchafalaya,9/25/1964,1449.61031220404,0.110962210058485,34,49.2867506149375,316.976531545261,25.5555555555556,1.7278054281628,0.514713380469222,3.03818189429105,0.110792186332527,0.226,0.322561332434206,6.91862237122828,1.36E-05,1.28375705711565E-05,34.0195620135648,0.502389072299497,0.75259627153992,0.000131991,,,0.753608540594138,0.996679944316026,,,,0.604059296110882
midloupe,5/22/1952,12.8539664402468,0.859222355631471,,,43.5842730874733,18.8888888888889,1.83808015492438,0.92825073760769,,0.348685916587601,0.917004043204671,0.645056184404706,0.402827894446303,0.001325757575758,0.000202372172276,536.286256531289,0.162468123167732,0.940631606692512,0.001625948,,,0.957412701942055,0.990435371908207,,,,
midloupe,11/8/1950,12.5425267247342,0.838404192829827,,,45.1081987199025,2.77777777777778,1.85042574876771,0.985566960227088,,0.204346708293173,0.452861832131953,0.286886776353886,0.247123075529049,0.001344696969697,0.000721722256414,1912.56397949731,0.254062254011061,0.86361161450615,0.01279632,,,0.729945460810202,0.932868217468799,,,,
midloupe,9/21/1951,12.514214023324,0.836511632575132,,,43.5842730874733,12.7777777777778,2.12550793880614,0.723799726984259,,0.380152757959656,2,0.715798007606336,0.347412416903426,0.001306818181818,0.000222381234893,589.310272466356,0.200982108821383,0.938704346851537,0.001968391,,,0.950226044758891,0.987628130248123,,,,
midloupe,3/1/1950,12.2310870092216,0.817586030028184,,,43.8890582139592,3.88888888888889,1.65397490915282,0.609021655889247,,0.27365588410868,0.5,0.502895713151004,0.296318872972332,0.00092803030303,0.000745562760796,1975.7413161092,0.666628578675993,0.807135157019851,0.013847785,,,0.661501611162188,0.93057196408715,,,,
midloupe,10/31/1951,12.0895235021705,0.808123228754709,,,46.3273392258458,3.88888888888889,1.89952562522765,0.714685695825772,,0.348871882052967,0.911722488558217,0.579584522485249,0.314810953014967,0.001306818181818,0.000481721809199,1276.5627943771,0.352518459917099,0.884445309849287,0.005700437,,,0.857169550628646,0.9728480485818,,,,
midloupe,4/26/1951,11.7780837866579,0.787305065953066,,,44.4986284669308,8.88888888888889,2.04406055952474,0.724851145357881,,0.353553390593274,1.4142135623731,0.635186246260057,0.323573250721255,0.001306818181818,0.000302704845471,802.167840499361,0.242766766924061,0.919113327016878,0.002339273,,,0.939149926955791,0.990060967132807,,,,
midloupe,4/25/1950,11.7214583838374,0.783519945443676,,,44.193843340445,10.5555555555556,1.90807553485141,0.56873786796897,,0.329876977693224,0.911722488558217,0.694282811733884,0.30268316009627,0.001022727272727,0.000576777350417,1528.45997860631,0.646053848955519,0.85110896661941,0.013397966,,,0.668862807126132,0.928407663829976,,,,
midloupe,3/21/1950,11.6082075781965,0.775949704424896,,,42.9747028345017,4.44444444444444,1.79344569590963,0.900218012780039,,0.282785054209273,0.629960524947437,0.430585585839057,0.291815546635367,0.001439393939394,0.000482533700698,1278.71430685072,0.238172388636112,0.895573027475587,0.003323243,,,0.927170316768413,0.985880708306899,,,,
midloupe,12/5/1951,11.2967678626839,0.755131541623253,,,37.4885705577568,1.11111111111111,1.89319904905919,0.667963703337386,,0.34848456586225,0.921689640940865,0.567751251969255,0.327086477204303,0.001174242424242,0.000544332063144,1442.47996733277,0.434258366525522,0.861459729803218,0.004309794,,,0.884560460467955,0.984413926118358,,,,
midloupe,3/14/1951,11.1835170570429,0.747561300604473,,,43.2794879609875,0,1.72711757404993,1.02957728269786,,0.287988205490624,0.552044756836906,0.375445626654241,0.311224248876373,0.00157196969697,0.000672352439584,1781.73396489853,0.264962131759368,0.873190093244079,0.00323172,,,0.933822687939615,0.990053299649568,,,,
midloupe,6/3/1952,11.1552043556327,0.745668740349778,,,45.4129838463883,23.3333333333333,1.88128800202157,0.845216320220801,,0.346130446461451,0.917004043204671,0.710605467906074,0.364105721573673,0.001325757575758,0.000148001840302,392.204876800351,0.07932892023542,0.954488905298026,0.002046853,,,0.940405910930973,0.988956778004835,,,,
midloupe,4/12/1950,10.9287027443508,0.730528258312219,,,44.193843340445,6.11111111111111,2.0110963923595,0.840229127433533,,0.301508435340888,0.911722488558217,0.488786566921507,0.315294958433615,0.001325757575758,0.000502542167556,1331.73674402354,0.185279620727531,0.882020140917568,0.005900205,,,0.856525758039342,0.968708774499115,,,,
midloupe,8/13/1952,10.9287027443508,0.730528258312219,,,45.1081987199025,26.1111111111111,1.99415683758318,0.805156573033221,,0.328815186481603,1.14869835499704,0.724842477145272,0.329497434038732,0.001325757575758,0.000180158294977,477.419481688515,0.098499444541835,0.948702804355749,0.003417089,,,0.895295814762746,0.974103449913206,,,,
midloupe,8/30/1951,10.7022011330689,0.715387776274661,,,44.4986284669308,24.4444444444444,2.2364231644672,0.752633308049386,,0.385552706351985,2.43802730840895,0.8290699199126,0.361149499192111,0.001325757575758,0.000234764762208,622.126619852436,0.146811457963009,0.934522071174725,0.005305506,,,0.843009237303243,0.966574154120249,,,,
