date,meandeltarad,meandeltaraderr,lobeint,lobeinterr
16-Oct-1981,82082.7770808601,2000,12869.7605482179,2828.42712474619
21-Nov-1981,82802.2300923581,2000,11699.760548218,2828.42712474619
09-Dec-1981,81228.0461331834,2000,9629.86075612764,2828.42712474619
30-May-1984,84524.7127518029,2000,14639.7405997782,2828.42712474619
03-Sep-1984,83273.4228763737,2000,19667.7634763787,2828.42712474619
14-Mar-1985,85239.5924532479,2000,19787.7634763787,2828.42712474619
25-Nov-1985,86135.9714093395,2000,19037.7634763787,2828.42712474619
20-May-1986,85513.3131654215,2000,18017.7634763787,2828.42712474619
04-Mar-1987,84891.3690130729,2000,18527.7634763786,2828.42712474619
21-Apr-1987,83126.4062583798,2000,15419.7405997781,2828.42712474619
07-May-1987,84680.7976594153,2000,16079.7405997781,2828.42712474619
08-Jun-1987,85390.0208750957,2000,17897.7634763788,2828.42712474619
17-Dec-1987,85289.7268561962,2000,17717.7634763788,2828.42712474619
19-Feb-1988,85204.5418471412,2000,16499.7405997782,2828.42712474619
10-Jun-1988,85310.0137240658,2000,16229.7405997782,2828.42712474619
28-Jan-1989,85611.5639967653,2000,20687.7634763787,2828.42712474619
13-Feb-1989,84658.4129421305,2000,22907.7634763788,2828.42712474619
09-Mar-1989,85763.3954367782,2000,19937.7634763786,2828.42712474619
10-Apr-1989,85424.1606869801,2000,21947.7634763786,2828.42712474619
20-Nov-1989,85634.6671033575,2000,23927.759635084,2828.42712474619
12-Mar-1990,86617.8543881987,2000,22157.7634763787,2828.42712474619
05-Jul-1991,85413.9804379665,2000,25127.7596350839,2828.42712474619
23-Sep-1991,86089.1524562601,2000,24377.7596350838,2828.42712474619
12-Dec-1991,86203.9833747665,2000,23987.7596350839,2828.42712474619
02-Apr-1992,85998.5827146868,2000,24527.759635084,2828.42712474619
20-May-1992,86162.1681514404,2000,23927.759635084,2828.42712474619
07-Jul-1992,85242.7950049132,2000,24137.7596350839,2828.42712474619
24-Aug-1992,86154.2786137181,2000,24617.7596350839,2828.42712474619
25-Sep-1992,85327.8206349808,2000,24647.7596350839,2828.42712474619
12-Nov-1992,84844.220020692,2000,23087.7634763788,2828.42712474619
04-Mar-1993,85921.1264927312,2000,24887.759635084,2828.42712474619
28-Sep-1993,86398.4004295438,2000,27107.7596350839,2828.42712474619
17-Dec-1993,85680.8259102788,2000,27587.6562018752,2828.42712474619
03-Feb-1994,85471.66033134,2000,26987.759635084,2828.42712474619
17-Oct-1994,86315.1239716067,2000,30377.6506251353,2828.42712474619
06-Feb-1995,85704.1921623651,2000,29117.6562018754,2828.42712474619
22-Feb-1995,85290.7558605663,2000,29147.6562018753,2828.42712474619
10-Mar-1995,85698.629090614,2000,29657.6562018754,2828.42712474619
26-Mar-1995,86512.5949229125,2000,30077.6562018751,2828.42712474619
18-Sep-1995,86039.8138186888,2000,32087.6506251352,2828.42712474619
04-Oct-1995,86644.9999656015,2000,31127.6506251353,2828.42712474619
05-Nov-1995,86512.2741270793,2000,28727.6562018752,2828.42712474619
21-Nov-1995,86703.4953327191,2000,29027.6562018754,2828.42712474619
07-Dec-1995,86121.7411041603,2000,29687.6562018754,2828.42712474619
23-Dec-1995,85396.9429588439,2000,31307.6506251354,2828.42712474619
09-Feb-1996,84934.5725549359,2000,30677.6506251354,2828.42712474619
25-Feb-1996,85335.7620206281,2000,30587.6506251354,2828.42712474619
31-May-1996,86423.3595237849,2000,29117.6562018754,2828.42712474619
02-Jul-1996,84685.2429525926,2000,28517.6562018753,2828.42712474619
25-Dec-1996,85800.9398897586,2000,28217.6562018752,2828.42712474619
