134,450,16.5,274,11.5,59.6,83.8,606,305,839,68.8,28.5,106,415,1210,285,30.8,74.5,443,0,51.7,0
98,579,15,294,17.6,38.2,58.5,546,187,943,50.1,28.8,135,426,1100,203,10.7,65.7,170,0,59.3,0
78,532,15,202,4.81,16.7,63.8,570,175,1100,47.5,28,157,471,847,175,2.81,118,61,0,25.4,0
65,428,7.75,205,0.37,8.37,55,375,247,1070,53,25.9,206,389,390,114,4.6,292,14.3,0,0.18,0.043
48.5,360,17.5,191,0.002,5.18,30.9,224,370,874,52.5,24.7,201,618,301,45.7,9.34,285,0.82,0,0,173
26.8,476,42.8,206,0,3.83,23.9,509,428,844,45.7,23.7,238,729,455,12.9,27.8,347,0,0,0,319
9.55,500,54.9,180,7.19,3.25,128,431,298,781,46.2,23.3,230,808,458,0,33.4,427,0,0,0,245
1.47,510,49.7,152,186,1.08,103,374,344,849,47.5,23.1,214,632,543,0,38.8,372,18,0,0,224
0.23,482,37.3,131,373,0.051,69.7,351,501,998,46.6,25.5,200,539,485,0,51.6,389,6.01,0,0,210
0,568,28.1,172,296,1.06,32.7,559,543,1060,46.6,26.8,148,347,450,0,103,386,0,0,0,241
0,532,20.1,157,296,0,46,605,541,1320,43.5,17.4,96.1,373,477,0,137,210,0,0,0,230
0,661,25,120,272,0,89,979,551,1400,43.9,16.7,79.1,420,576,0,48.5,210,0,0,0,203
0,781,29,71.5,242,0,114,1110,533,1410,71.2,17.2,79.5,468,819,0,7.7,215,0,0,0,175
0,638,22,46.8,181,0,86.8,981,447,1410,101,18.7,119,359,877,0,0,213,0,0,0,143
0,592,19.3,28.8,139,0,86.5,958,459,1340,98.8,20.6,95.8,263,947,0,0,213,0,0,0,126
8.58,568,18.5,15,139,0,98.8,998,519,878,77.1,24.4,55.6,315,912,0,0,204,0,0,0,100
82.9,551,17.8,3.09,92,0,84.1,968,471,859,62.4,24.3,42.5,288,952,0,0,213,0,0,0,72.5
86.5,584,10.8,0,79.1,0.6,64.9,1030,481,696,56.9,24.1,36.8,321,1030,0,0,192,0,0,0,15.6
78.2,547,9.5,0,33.1,52,32.8,1030,441,960,41.5,22.6,42.1,267,1160,280,0,178,0,0,0,2.248
66.8,514,11.7,0,17.3,142,17.4,1100,328,1030,73.6,18,48.3,120,917,172,0,155,0,0,0,0
55,608,7.1,0,10.9,111,10.9,1150,285,1030,113,21.6,47.1,96.7,929,35,0,113,0,0,0,0
