"mmdd","dd","Qw","Qw_max","Qw_min","Qw_std","Qs","Qs_max","Qs_min","Qs_std","Qs_m","Qs_m_max","Qs_m_min","Qs_m_std","Qw_m.avg","Qs_m_m.avg"
"58",227,57,499.3658536585,2070,14.5,413.2753498636,2.3039653659,25.5,0.002,4.6270845773,0.869420892792453,9.62264150943396,0.000754716981132075,1.74606965181132,520.948432055743,1.15423374137466
"59",228,58,527.7414634146,2180,11,425.3200183248,3.0318704878,43.2,0.001,7.0196466837,1.14410207086792,16.3018867924528,0.000377358490566038,2.64892327686792,542.008536585357,1.25326190257682
"60",301,59,614.2170731707,2620,4.8,539.3100805207,4.7110536585,42.44401,0,8.6215037389,1.77775609754717,16.0166075471698,0,3.25339763732075,561.858013937271,1.38133216751482
"61",302,60,592.3024390244,2040,2.6,445.7295791665,4.1711890244,22,0,5.8757426079,1.57403359411321,8.30188679245283,0,2.2172613614717,577.935365853643,1.51730942739084
"62",303,61,599.2280487805,2080,0.95,446.333810904,4.1866185366,32.9,0,6.8205157139,1.57985605154717,12.4150943396226,0,2.57377951467925,600.658013937271,1.67656249424798
"63",304,62,602.6926829268,2180,0,455.7706942039,4.7483142683,39.5,0,8.0643949767,1.79181670501887,14.9056603773585,0,3.04316791573585,618.671602787457,1.81379514167655
"64",305,63,610,2260,0,469.0709098846,4.9930785366,47.2,0,9.1717761539,1.88418057984906,17.811320754717,0,3.46104760524528,623.9287456446,1.87816816120216
"65",306,64,658.4243902439,2320,0,510.5408160865,5.2581097561,37.1,0,7.9027865169,1.98419236079245,14,0,2.98218359128302,637.3012195122,1.98485688646361
"66",307,65,653.8365853659,2280,0,524.6822322874,5.5775360976,46.4,0,9.9833460536,2.10473060286792,17.5094339622642,0,3.76730039758491,650.9456445993,2.08108353822642
"67",308,66,651.0170731707,2110,0,520.1028436292,5.9051731707,52.6,0,10.3021212338,2.22836723422642,19.8490566037736,0,3.88759291841509,669.9031358885,2.2116286897628
"68",309,67,685.9097560976,2120,0,519.8349963233,6.150264878,35.7,0,8.7808126386,2.3208546709434,13.4716981132075,0,3.31351420324528,685.822299651571,2.33962465320755
"69",310,68,694.7390243902,2120,0,509.4342886369,5.9716229268,28.8,0,8.2247569411,2.25344261388679,10.8679245283019,0,3.10368186456604,692.627526132414,2.45324150942857
"70",311,69,735.3951219512,2120,0,564.7998454989,7.1699268293,48.3,0,11.4271942803,2.70563276577358,18.2264150943396,0,4.31214878501887,702.355052264814,2.55534614423181
"71",312,70,721.4341463415,2440,0,578.5177476144,7.3674036585,63.9,0,12.3889642392,2.78015232396226,24.1132075471698,0,4.67508084498113,717.702090592343,2.68980633751482
"72",313,71,706.0609756098,2540,0,550.8827633345,7.365702439,66,0,11.6745861801,2.77951035433962,24.9056603773585,0,4.40550421890566,726.251916376314,2.75704299519677
"73",314,72,721.9292682927,2480,0,542.4970351273,7.4715770732,66.2,0,12.2112943434,2.81946304649057,24.9811320754717,0,4.60803560128302,734.322648083643,2.83808249293261
"74",315,73,758.4463414634,2580,0,563.7332432532,8.3994097561,70.2,0,13.6694711346,3.16958858720755,26.4905660377358,0,5.15829099418868,737.6717770035,2.880467346
"75",316,74,745.7585365854,2220,0,500.3734809997,7.397504878,50,0,9.8073147922,2.79151127471698,18.8679245283019,0,3.70087350649057,741.5386759582,2.89742686214016
"76",317,75,751.2341463415,2260,0,508.020456089,7.4749056098,37.3,0,8.9021048676,2.82071909803774,14.0754716981132,0,3.35928485569811,748.262020905928,2.86562801919677
"77",318,76,758.8390243902,2340,0,552.8354894894,7.9561658537,42.7,0,10.9416550931,3.00232673724528,16.1132075471698,0,4.12892645022642,750.444599303143,2.84254344881941
"78",319,77,748.5024390244,2340,0,546.4359090908,7.6820026829,39.6,0,10.4825045183,2.8988689369434,14.9433962264151,0,3.95566208237736,749.049825783986,2.7939815528248
"79",320,78,753.1243902439,2380,0,551.8634336412,6.7758339024,46.9,0,9.6822477739,2.55691845373585,17.6981132075472,0,3.65367840524528,749.5299651568,2.79152254290027
"80",321,79,737.2073170732,2410,0,562.3726248628,7.0433582927,48.2,0,9.5994287759,2.65787105384906,18.188679245283,0,3.62242595316981,753.045296167243,2.79320629807547
"81",322,80,748.6829268293,2860,0,594.2926231674,7.4985865854,43.6,0,10.9875282669,2.82965531524528,16.4528301886792,0,4.14623708184906,754.604878048786,2.7914527250027
"82",323,81,749.1195121951,2920,0,600.8161187999,7.3518902439,51.8,0,10.9034305287,2.77429820524528,19.5471698113208,0,4.11450208630189,753.339721254357,2.76646395371968
"83",324,82,775.8414634146,2720,0,612.0742409935,7.5061392683,46,0,10.315861095,2.83250538426415,17.3584905660377,0,3.89277777169811,754.056445993029,2.79025805009704
"84",325,83,769.756097561,2400,0,596.6382861704,7.9236370732,46.1,0,10.315375358,2.99005172573585,17.3962264150943,0,3.89259447471698,753.917073170729,2.77401121556873
"85",326,84,739.6463414634,2570,0,570.1263553361,7.2184609756,50.9,0,9.5913317313,2.72394753796226,19.2075471698113,0,3.61937046464151,754.118118466886,2.87126021957951
"86",327,85,758.1414634146,3040,0,585.797804697,7.2172143902,41.6,0,9.1065712817,2.72347712837736,15.6981132075472,0,3.43644199309434,762.372473867586,3.01130623890566
"87",328,86,736.2317073171,2580,0,523.6513288625,6.7419795122,43.9,0,8.4658328201,2.54414321215094,16.5660377358491,0,3.19465389437736,768.908362369329,3.23297751626954
"88",329,87,750.0902439024,2280,0,542.1235983634,9.3025556098,117.92,0,18.9367156487,3.51039834332075,44.4981132075472,0,7.1459304334717,779.433101045286,3.45633947800539
"89",330,88,806.9,2820,0,604.6357051978,9.9497439024,65.7,0,14.9646481381,3.7546203405283,24.7924528301887,0,5.64703703324528,788.886411149814,3.67091419367116
"90",331,89,821.5926829268,3800,0,706.7931947855,11.6181414634,119,0,21.0755655357,4.38420432581132,44.9056603773585,0,7.95304359837736,794.025435540057,3.76060094667924
"91",401,90,843.4292682927,3650,0,731.6216967272,12.0670014634,147,0,25.4592056436,4.55358545788679,55.4716981132075,0,9.60724741267925,807.282996515657,3.96891471960647
"92",402,91,805.8195121951,3030,0,649.7241388541,11.1988219512,106,0,19.7023976366,4.22597054762264,40,0,7.43486703267925,827.602857142843,4.28280771809164
"93",403,92,794.1146341463,2730,0,627.6908895153,8.8809036585,38.3,0,10.2963169224,3.35128439943396,14.4528301886792,0,3.88540261222642,846.892752613228,4.79363501412938
"94",404,93,829.0346341463,3070,0,726.4295848742,10.6062,61.7,0,14.4687062238,4.00233962264151,23.2830188679245,0,5.4598891410566,861.335958188143,5.06071548221024
"95",405,94,892.3292682927,3490,0,820.1280854976,15.1252707317,90.2,0,22.389540218,5.70764933271698,34.0377358490566,0,8.44888310113208,870.997944250857,5.17991066990296
"96",406,95,941.9292682927,3170,0,888.4317295786,19.4255902439,166.108,0,36.5868444329,7.33041141279245,62.6822641509434,0,13.8063563897736,880.802125435529,5.28259370191914
"97",407,96,922.6951219512,3050,0,818.8514889622,16.5724841463,120,0,27.7014266202,6.25376760237736,45.2830188679245,0,10.4533685359245,882.310139372814,5.36980611398922
"98",408,97,911.0631707317,2980,0,743.9216907123,14.2780721951,85.2,0,18.7375550444,5.38795177173585,32.1509433962264,0,7.07077548845283,866.832020905914,5.21718426138005
"99",409,98,874.4487804878,2750,0,691.0502243404,13.1035921951,71.5,0,17.627412898,4.94475177173585,26.9811320754717,0,6.65185392377358,841.472090592329,4.81030884227493
"100",410,99,804.6707317073,2207,0,621.6067672749,10.4986939024,58.8,0,13.1597677739,3.96177128392453,22.188679245283,0,4.96595010335849,806.6344599303,4.18478230226954
