timestep,time,crateridx,diameter,ref_elev,location_x,location_y,p_SLR,p_f_bedload,p_crater_accumulation_duration,p_crater_accumulation_number,p_crater_size,log_ID,distance_inlet,interbedded,rim_frac,ejecta_frac,rim_frac_sfc,rim_degree_cov,rim_degree_consec,rim_degree_consec_aboveref,rim_degree_consec_top
46,490666.7,80,14.0,-6.0,2950.0,2330.0,1e-08,0.5,100.0,200.0,-1.0,0,3774.042925034107,False,1.0,0.75,0.0,,360.0,360.0,
46,490666.7,81,19.1,-6.0,1450.0,3590.0,1e-08,0.5,100.0,200.0,-1.0,0,5730.706762695157,False,0.875,1.0,0.625,,315.0,360.0,
46,490666.7,82,12.9,-6.0,4470.0,1370.0,1e-08,0.5,100.0,200.0,-1.0,0,1986.00100704909,False,0.125,,0.125,,0.0,0.0,
46,490666.7,83,25.6,-6.0,7450.0,5130.0,1e-08,0.5,100.0,200.0,-1.0,0,5259.600745303773,False,0.875,0.9722222222222222,0.875,,315.0,360.0,
47,501333.3,84,15.3,-6.0,10250.0,5610.0,1e-08,0.5,100.0,200.0,-1.0,0,6986.6873409363325,False,,,,,0.0,0.0,
47,501333.3,85,11.4,-6.0,5170.0,2310.0,1e-08,0.5,100.0,200.0,-1.0,0,2372.55136930689,False,,,,,0.0,0.0,
47,501333.3,86,10.7,-6.0,6590.0,3530.0,1e-08,0.5,100.0,200.0,-1.0,0,3503.512523168713,False,,,,,0.0,0.0,
47,501333.3,87,33.2,-6.0,8170.0,670.0,1e-08,0.5,100.0,200.0,-1.0,0,2268.0828909014767,False,,,,,0.0,0.0,
48,512000.0,88,15.6,-6.0,3830.0,3030.0,1e-08,0.5,100.0,200.0,-1.0,0,3650.342449688796,False,0.25,0.3333333333333333,0.0,,0.0,240.0,
49,522666.7,89,19.7,-6.0,6310.0,4310.0,1e-08,0.5,100.0,200.0,-1.0,0,4242.852813850605,False,0.875,0.9375,0.0,,315.0,360.0,
50,533333.3,90,10.2,-6.0,2270.0,4610.0,1e-08,0.5,100.0,200.0,-1.0,0,5855.339443618961,False,1.0,,0.125,,360.0,360.0,
50,533333.3,91,12.6,-6.0,7090.0,4830.0,1e-08,0.5,100.0,200.0,-1.0,0,4877.970889622036,False,1.0,,0.0,,360.0,360.0,
51,544000.0,92,10.7,-6.0,11190.0,390.0,1e-08,0.5,100.0,200.0,-1.0,0,5219.214500286417,False,0.75,,0.125,,270.0,360.0,
52,554666.7,93,11.9,-6.0,2010.0,3390.0,1e-08,0.5,100.0,200.0,-1.0,0,5168.84900147025,False,0.875,,0.0,,315.0,360.0,
52,554666.7,94,12.4,-6.0,11090.0,4310.0,1e-08,0.5,100.0,200.0,-1.0,0,6633.626459185051,False,1.0,,0.0,,360.0,360.0,
52,554666.7,95,11.9,-6.0,10210.0,4630.0,1e-08,0.5,100.0,200.0,-1.0,0,6212.519617675263,False,1.0,,0.0,,360.0,360.0,
52,554666.7,96,10.2,-6.2,6010.0,410.0,1e-08,0.5,100.0,200.0,-1.0,0,331.3608305156178,False,0.0,,0.0,,0.0,0.0,
52,554666.7,97,13.3,-6.0,9770.0,4990.0,1e-08,0.5,100.0,200.0,-1.0,0,6202.596230611824,False,1.0,,0.0,,360.0,360.0,
53,565333.3,98,10.1,-6.0,10170.0,2590.0,1e-08,0.5,100.0,200.0,-1.0,0,4884.2809092025,False,1.0,,0.0,,360.0,360.0,
53,565333.3,99,13.9,-6.0,6570.0,2390.0,1e-08,0.5,100.0,200.0,-1.0,0,2384.1560351621283,False,1.0,1.0,0.0,,360.0,360.0,
53,565333.3,100,11.1,-6.0,10410.0,4330.0,1e-08,0.5,100.0,200.0,-1.0,0,6139.006434269311,False,1.0,,0.0,,360.0,360.0,
55,586666.7,101,13.7,-6.0,1810.0,1970.0,1e-08,0.5,100.0,200.0,-1.0,0,4578.318468608317,False,0.875,1.0,0.0,,315.0,360.0,
55,586666.7,102,11.2,-6.0,2190.0,1490.0,1e-08,0.5,100.0,200.0,-1.0,0,4043.785355332303,False,1.0,,0.0,,360.0,360.0,
56,597333.3,103,19.3,-6.0,1870.0,2030.0,1e-08,0.5,100.0,200.0,-1.0,0,4549.131785297058,False,0.875,0.875,0.5,,315.0,360.0,
59,629333.3,104,13.7,-6.0,90.0,5310.0,1e-08,0.5,100.0,200.0,-1.0,0,7876.864858558893,False,0.875,1.0,0.125,,315.0,360.0,
60,640000.0,105,18.1,-6.0,2350.0,1190.0,1e-08,0.5,100.0,200.0,-1.0,0,3795.918861092792,False,0.75,1.0,0.25,,225.0,360.0,
61,650666.7,106,22.6,-6.0,9090.0,1710.0,1e-08,0.5,100.0,200.0,-1.0,0,3511.267577385694,False,0.75,0.8214285714285714,0.0,,135.0,360.0,
62,661333.3,107,13.5,-6.0,530.0,3890.0,1e-08,0.5,100.0,200.0,-1.0,0,6649.7067604519225,False,0.625,0.75,0.125,,135.0,360.0,
63,672000.0,108,15.8,-6.0,1470.0,1350.0,1e-08,0.5,100.0,200.0,-1.0,0,4685.402864215627,False,0.875,0.6666666666666666,0.25,,315.0,360.0,
63,672000.0,109,10.1,-6.0,4850.0,910.0,1e-08,0.5,100.0,200.0,-1.0,0,1402.0698984002188,False,1.0,,0.125,,360.0,360.0,
