timestep,time,crateridx,diameter,ref_elev,location_x,location_y,p_SLR,p_f_bedload,p_crater_accumulation_duration,p_crater_accumulation_number,p_crater_size,log_ID,distance_inlet,interbedded,rim_frac,ejecta_frac,rim_frac_sfc,rim_degree_cov,rim_degree_consec,rim_degree_consec_aboveref,rim_degree_consec_top
1494,15936000.0,56,174.4,4.0,1770.0,4030.0,1e-08,0.8,1.0,250.0,-2.0,0,5772.919538673651,False,0.8552631578947368,0.9199604743083004,0.9078947368421053,0.8846153846153846,249.23076923076923,249.23076923076923,
1535,16373333.3,57,246.7,-0.7,5850.0,130.0,1e-08,0.8,1.0,250.0,-2.0,0,139.2838827718412,True,0.8968253968253969,0.5889954147561484,0.3333333333333333,1.0,360.0,291.8918918918919,
1587,16928000.0,58,73.3,3.7,4130.0,3610.0,1e-08,0.8,1.0,250.0,-2.0,0,3985.3983489734123,False,0.8333333333333334,0.7017045454545454,0.0,0.8,252.0,252.0,
1628,17365333.3,59,134.7,-6.0,5490.0,3290.0,1e-08,0.8,1.0,250.0,-2.0,0,3247.183394882402,False,1.0,0.9372937293729373,0.225,1.0,360.0,360.0,
1638,17472000.0,60,242.7,-6.0,1730.0,2650.0,1e-08,0.8,1.0,250.0,-2.0,0,4966.628635201147,False,1.0,0.9962082912032356,1.0,1.0,360.0,360.0,
1643,17525333.3,61,33.2,-5.7,8610.0,4310.0,1e-08,0.8,1.0,250.0,-2.0,0,4980.943685688486,False,1.0,1.0,0.0,,360.0,360.0,
1703,18165333.3,62,169.9,4.4,11590.0,1790.0,1e-08,0.8,1.0,250.0,-2.0,0,5864.82736318811,False,0.65625,0.8889499725123694,0.0,0.8,230.4,216.0,
1728,18432000.0,63,33.1,-5.8,7830.0,5330.0,1e-08,0.8,1.0,250.0,-2.0,0,5566.417160077028,False,1.0,0.9166666666666666,1.0,,360.0,360.0,
1768,18858666.7,64,254.9,-5.5,9390.0,1830.0,1e-08,0.8,1.0,250.0,-2.0,0,3832.8318512556743,False,1.0,0.9588316467341307,1.0,1.0,359.99999999999994,359.99999999999994,
1814,19349333.3,65,185.4,-5.2,3110.0,5710.0,1e-08,0.8,1.0,250.0,-2.0,0,6319.319583626073,False,1.0,0.8949648077964266,0.0875,1.0,360.0,360.0,
1819,19402666.7,66,209.8,-6.0,6210.0,3250.0,1e-08,0.8,1.0,250.0,-2.0,0,3178.3328963467625,False,1.0,0.9748982360922659,0.5833333333333334,1.0,360.0,360.0,
1842,19648000.0,67,97.6,-6.0,150.0,4710.0,1e-08,0.8,1.0,250.0,-2.0,0,7444.85056935329,False,1.0,0.9783889980353635,0.20833333333333334,1.0,360.0,360.0,
1873,19978666.7,68,160.9,-3.5,4990.0,1550.0,1e-08,0.8,1.0,250.0,-2.0,0,1772.2866585290315,True,1.0,0.7853009259259259,0.07142857142857142,1.0,360.0,360.0,
1917,20448000.0,69,296.7,-6.0,3090.0,3670.0,1e-08,0.8,1.0,250.0,-2.0,0,4608.709146821917,False,1.0,0.9368188010899182,0.3490566037735849,1.0,360.0,360.0,
1924,20522666.7,70,170.4,-6.0,2150.0,5130.0,1e-08,0.8,1.0,250.0,-2.0,0,6338.091195304782,False,1.0,0.9537987679671458,0.0,1.0,360.0,360.0,
1943,20725333.3,71,113.2,0.5,5310.0,1150.0,1e-08,0.8,1.0,250.0,-2.0,0,1262.4579200908045,True,0.8333333333333334,0.5556872037914692,0.0,0.875,315.0,247.5,
1947,20768000.0,72,258.4,-5.3,10830.0,3390.0,1e-08,0.8,1.0,250.0,-2.0,0,5871.848090678096,False,1.0,0.9091726618705036,0.58125,1.0,359.99999999999994,359.99999999999994,
